id_fecha;Pauta;Fecha;Flag_timing;dia_laboral;nro_registros;nro_registros_condni;nro_aprobados;nro_pre_aprobado;nro_sin_campaña;gestionado;contactado;derivacion_Ope;desembolso_m_tlmk;desembolso_m_tlmk_neto;desembolso_n_tlmk;desembolso_n_total;desembolso_m_neto_total;desembolso_n_eds;desembolso_m_neto_eds
250131;1.Aprobado;2025-01-15;0;12.0;56;45;1;2;42;1;1;0;0;0.0;0;0;0.0;0;0.0
250131;1.Aprobado;2025-01-21;0;17.0;23;19;0;0;19;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;1.Aprobado;2025-01-30;0;25.0;19;14;2;1;11;2;2;1;0;0.0;0;0;0.0;0;0.0
250131;5.Otro_add;2025-01-17;0;14.0;294;256;1;13;242;0;0;0;0;0.0;0;0;0.0;0;0.0
250131;9.Otros;2025-01-26;0;0.0;23;0;0;0;0;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;1.Aprobado;2025-02-04;0;3.0;70;62;2;8;52;2;2;2;4400;4400.0;2;2;4400.0;0;0.0
250228;1.Aprobado;2025-02-21;0;18.0;336;290;2;17;271;4;3;0;0;0.0;0;0;0.0;0;0.0
250228;4.Camp_QR;2025-02-06;0;5.0;220;210;24;51;135;21;13;3;0;0.0;0;0;0.0;0;0.0
250331;1.Aprobado;2025-03-03;0;2.0;70;60;1;5;54;3;3;3;11800;11800.0;2;2;11800.0;0;0.0
250331;2.Escolar;2025-03-15;0;13.0;87;41;0;2;39;2;2;1;3000;3000.0;1;1;3000.0;0;0.0
250331;4.Camp_QR;2025-03-06;0;5.0;8;8;0;0;8;1;1;1;1500;1500.0;1;1;1500.0;0;0.0
250331;4.Camp_QR;2025-03-22;0;19.0;1;1;0;0;1;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;6.Ahorros;2025-03-25;0;21.0;14;12;0;0;12;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;9.Otros;2025-03-26;0;22.0;118;49;5;10;34;20;15;11;20500;20500.0;5;5;20500.0;0;0.0
250131;6.Ahorros;2025-01-28;0;23.0;44;10;0;0;10;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;1.Aprobado;2025-02-27;0;23.0;272;229;7;13;209;7;6;1;1500;1500.0;1;1;1500.0;0;0.0
250228;2.Escolar;2025-02-03;0;2.0;107;65;0;1;64;1;1;1;400;400.0;1;1;400.0;0;0.0
250228;2.Escolar;2025-02-14;0;12.0;92;79;0;4;75;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;2.Escolar;2025-02-15;0;13.0;102;77;0;3;74;0;0;0;0;0.0;0;0;0.0;0;0.0
250228;2.Escolar;2025-02-19;0;16.0;85;76;0;8;68;2;1;0;0;0.0;0;0;0.0;0;0.0
250228;9.Otros;2025-02-15;0;13.0;56;20;4;3;13;4;3;2;0;0.0;0;0;0.0;0;0.0
250228;9.Otros;2025-02-22;0;19.0;49;18;6;1;11;6;5;1;2700;2700.0;1;1;2700.0;0;0.0
250331;1.Aprobado;2025-03-05;0;4.0;72;61;2;4;55;3;3;2;1900;1900.0;1;1;1900.0;0;0.0
250331;1.Aprobado;2025-03-09;0;0.0;66;12;0;2;10;2;2;1;0;0.0;0;0;0.0;0;0.0
250331;2.Escolar;2025-03-13;0;11.0;80;75;0;4;71;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;6.Ahorros;2025-03-01;1;1.0;13;10;0;0;10;0;0;0;0;0.0;0;0;0.0;0;0.0
250331;6.Ahorros;2025-03-23;0;0.0;8;7;0;0;7;0;0;0;0;0.0;0;0;0.0;0;0.0
